NAMESPACE                                               NAME                                                              READY   STATUS              RESTARTS   AGE     IP              NODE                            NOMINATED NODE   READINESS GATES
claro-arquitectura                                      nats-server-2                                                     2/2     Running             0          2d19h   10.128.2.7      infra-02.osepext01.claro.amx    <none>           <none>
claro-arquitectura                                      nats-server-config-reloader-3-build                               0/1     Completed           0          2d19h   10.128.4.192    worker-03.osepext01.claro.amx   <none>           <none>
cluster-ops                                             cronjob-ldap-group-sync-1600704000-jw6bv                          0/1     Completed           0          139m    10.130.3.80     worker-01.osepext01.claro.amx   <none>           <none>
cluster-ops                                             cronjob-ldap-group-sync-1600707600-s98vb                          0/1     Completed           0          79m     10.130.3.82     worker-01.osepext01.claro.amx   <none>           <none>
cluster-ops                                             cronjob-ldap-group-sync-1600711200-msbwc                          0/1     Completed           0          20m     10.130.3.83     worker-01.osepext01.claro.amx   <none>           <none>
idp                                                     claro-sso-1-deploy                                                0/1     Completed           0          3d      10.129.3.183    infra-03.osepext01.claro.amx    <none>           <none>
idp                                                     claro-sso-2-deploy                                                0/1     Completed           0          3d      10.130.2.233    worker-01.osepext01.claro.amx   <none>           <none>
idp                                                     claro-sso-3-deploy                                                0/1     Completed           0          2d23h   10.130.2.237    worker-01.osepext01.claro.amx   <none>           <none>
idp                                                     claro-sso-4-2lcgk                                                 1/1     Running             0          2d23h   10.128.1.126    infra-01.osepext01.claro.amx    <none>           <none>
idp                                                     claro-sso-4-deploy                                                0/1     Completed           0          2d23h   10.128.1.125    infra-01.osepext01.claro.amx    <none>           <none>
idp                                                     claro-sso-4-ftw4j                                                 1/1     Running             0          2d23h   10.129.5.12     worker-04.osepext01.claro.amx   <none>           <none>
idp                                                     claro-sso-s2i-3-build                                             0/1     Completed           0          3d      10.128.1.119    infra-01.osepext01.claro.amx    <none>           <none>
istio-system                                            kiali-7564cbd696-fbsr2                                            1/1     Running             0          81d     10.128.0.5      infra-01.osepext01.claro.amx    <none>           <none>
openshift-apiserver-operator                            openshift-apiserver-operator-54b67788df-2wxvk                     1/1     Running             0          104d    10.131.0.31     master-02.osepext01.claro.amx   <none>           <none>
openshift-apiserver                                     apiserver-675dc5df8b-hctwj                                        1/1     Running             0          2d19h   10.131.0.205    master-02.osepext01.claro.amx   <none>           <none>
openshift-apiserver                                     apiserver-675dc5df8b-lg5dt                                        1/1     Running             0          2d19h   10.129.0.197    master-01.osepext01.claro.amx   <none>           <none>
openshift-apiserver                                     apiserver-675dc5df8b-vfg4s                                        1/1     Running             0          2d19h   10.130.0.195    master-03.osepext01.claro.amx   <none>           <none>
openshift-authentication-operator                       authentication-operator-5b96cc9776-m2bb8                          1/1     Running             10         104d    10.131.0.14     master-02.osepext01.claro.amx   <none>           <none>
openshift-authentication                                oauth-openshift-6f56b4c499-8tfrz                                  1/1     Running             0          69d     10.130.0.113    master-03.osepext01.claro.amx   <none>           <none>
openshift-authentication                                oauth-openshift-6f56b4c499-gcmwk                                  1/1     Running             0          69d     10.129.0.108    master-01.osepext01.claro.amx   <none>           <none>
openshift-cloud-credential-operator                     cloud-credential-operator-594567c7b4-jz47z                        1/1     Running             31         104d    10.129.0.16     master-01.osepext01.claro.amx   <none>           <none>
openshift-cluster-machine-approver                      machine-approver-6c47f76bb5-b47lw                                 2/2     Running             0          104d    10.92.114.125   master-01.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  cluster-node-tuning-operator-5d58586bd4-ctbb6                     1/1     Running             0          104d    10.129.0.9      master-01.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-2z69w                                                       1/1     Running             0          104d    10.92.114.134   worker-04.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-6pzgt                                                       1/1     Running             0          104d    10.92.114.133   worker-03.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-d8ndx                                                       1/1     Running             0          104d    10.92.114.132   worker-02.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-gq9j4                                                       1/1     Running             0          104d    10.92.114.131   worker-01.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-nth7b                                                       1/1     Running             0          104d    10.92.114.126   master-02.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-pv9zl                                                       1/1     Running             0          104d    10.92.114.128   infra-01.osepext01.claro.amx    <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-tjwvn                                                       1/1     Running             0          104d    10.92.114.129   infra-02.osepext01.claro.amx    <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-vwjbc                                                       1/1     Running             0          104d    10.92.114.125   master-01.osepext01.claro.amx   <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-wvmbz                                                       1/1     Running             0          104d    10.92.114.130   infra-03.osepext01.claro.amx    <none>           <none>
openshift-cluster-node-tuning-operator                  tuned-zf7jb                                                       1/1     Running             0          104d    10.92.114.127   master-03.osepext01.claro.amx   <none>           <none>
openshift-cluster-samples-operator                      cluster-samples-operator-6f4dc4d977-9jkwf                         2/2     Running             0          104d    10.131.0.17     master-02.osepext01.claro.amx   <none>           <none>
openshift-cluster-storage-operator                      cluster-storage-operator-7f6dfc96-4qnd8                           1/1     Running             0          104d    10.131.0.11     master-02.osepext01.claro.amx   <none>           <none>
openshift-cluster-storage-operator                      csi-snapshot-controller-6dcf7c7b4f-bv97s                          1/1     Running             21         81d     10.128.0.6      infra-01.osepext01.claro.amx    <none>           <none>
openshift-cluster-storage-operator                      csi-snapshot-controller-operator-5965bfcb6-wbt59                  1/1     Running             0          81d     10.129.4.6      worker-04.osepext01.claro.amx   <none>           <none>
openshift-cluster-version                               cluster-version-operator-5995b9c89c-2wzg7                         1/1     Running             2          104d    10.92.114.125   master-01.osepext01.claro.amx   <none>           <none>
openshift-console-operator                              console-operator-5b46f54579-8prkq                                 1/1     Running             0          104d    10.131.0.13     master-02.osepext01.claro.amx   <none>           <none>
openshift-console                                       console-56dd687b6f-2v9kp                                          1/1     Running             0          69d     10.129.0.105    master-01.osepext01.claro.amx   <none>           <none>
openshift-console                                       console-56dd687b6f-n5v87                                          1/1     Running             0          69d     10.130.0.109    master-03.osepext01.claro.amx   <none>           <none>
openshift-console                                       downloads-5cf6d9d8ff-mspr7                                        1/1     Running             0          81d     10.128.4.5      worker-03.osepext01.claro.amx   <none>           <none>
openshift-console                                       downloads-5cf6d9d8ff-ndllv                                        1/1     Running             0          81d     10.131.2.15     worker-02.osepext01.claro.amx   <none>           <none>
openshift-controller-manager-operator                   openshift-controller-manager-operator-777bfd7d68-77f6w            1/1     Running             0          104d    10.131.0.16     master-02.osepext01.claro.amx   <none>           <none>
